"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"5880";"T001540";"CRI1122";"NL01  ";"2010JJ00";"  107465";"      16";"     6.5";"    4500";"     4.2";"    6155"
"5881";"T001540";"CRI1122";"NL01  ";"2011JJ00";"  105690";"      16";"     6.3";"    4230";"     4.0";"    5710"
"5882";"T001540";"CRI1122";"NL01  ";"2012JJ00";"  106260";"      16";"     6.4";"    4340";"     4.1";"    5755"
"5883";"T001540";"CRI1122";"NL01  ";"2013JJ00";"  107170";"      16";"     6.4";"    4705";"     4.4";"    6250"
"5884";"T001540";"CRI1122";"NL01  ";"2014JJ00";"  110945";"      19";"     6.6";"    5350";"     4.8";"    6915"
"5885";"T001540";"CRI1122";"NL01  ";"2015JJ00";"  106875";"      19";"     6.3";"    4960";"     4.6";"    6330"
"5886";"T001540";"CRI1122";"NL01  ";"2016JJ00";"   96675";"      19";"     5.7";"    4320";"     4.5";"    5485"
"5887";"T001540";"CRI1122";"NL01  ";"2017JJ00";"   78835";"      18";"     4.6";"    3305";"     4.2";"    4145"
"5888";"T001540";"CRI1122";"NL01  ";"2018JJ00";"   68180";"      18";"     4.0";"    2910";"     4.3";"    3695"
"5889";"T001540";"CRI1122";"NL01  ";"2019JJ00";"   66675";"      18";"     3.9";"    2660";"     4.0";"    3335"
"5890";"T001540";"CRI1122";"NL01  ";"2020JJ00";"   61765";"      19";"     3.5";"    2330";"     3.8";"    2855"
"5891";"T001540";"CRI1122";"NL01  ";"2021JJ00";"   60010";"      21";"     3.4";"    1920";"     3.2";"    2645"
"5892";"T001540";"CRI1122";"LD01  ";"2010JJ00";"   11135";"      24";"     6.5";"     670";"     6.0";"     860"
"5893";"T001540";"CRI1122";"LD01  ";"2011JJ00";"    9820";"      21";"     5.7";"     575";"     5.8";"     760"
"5894";"T001540";"CRI1122";"LD01  ";"2012JJ00";"   10445";"      23";"     6.1";"     560";"     5.4";"     745"
"5895";"T001540";"CRI1122";"LD01  ";"2013JJ00";"   10640";"      23";"     6.2";"     650";"     6.1";"     875"
"5896";"T001540";"CRI1122";"LD01  ";"2014JJ00";"   10115";"      24";"     5.9";"     620";"     6.1";"     810"
"5897";"T001540";"CRI1122";"LD01  ";"2015JJ00";"    9845";"      25";"     5.7";"     595";"     6.0";"     765"
"5898";"T001540";"CRI1122";"LD01  ";"2016JJ00";"    8355";"      23";"     4.9";"     445";"     5.4";"     580"
"5899";"T001540";"CRI1122";"LD01  ";"2017JJ00";"    5750";"      21";"     3.3";"     335";"     5.8";"     445"
"5900";"T001540";"CRI1122";"LD01  ";"2018JJ00";"    5190";"      20";"     3.0";"     365";"     7.0";"     450"
"5901";"T001540";"CRI1122";"LD01  ";"2019JJ00";"    4915";"      19";"     2.9";"     335";"     6.8";"     420"
"5902";"T001540";"CRI1122";"LD01  ";"2020JJ00";"    3870";"      18";"     2.2";"     255";"     6.6";"     310"
"5903";"T001540";"CRI1122";"LD01  ";"2021JJ00";"    4590";"      23";"     2.6";"     210";"     4.6";"     310"
"5904";"T001540";"CRI1122";"LD02  ";"2010JJ00";"   23960";"      20";"     6.8";"     905";"     3.8";"    1210"
"5905";"T001540";"CRI1122";"LD02  ";"2011JJ00";"   23565";"      20";"     6.7";"     805";"     3.4";"    1095"
"5906";"T001540";"CRI1122";"LD02  ";"2012JJ00";"   23665";"      20";"     6.7";"     830";"     3.5";"    1105"
"5907";"T001540";"CRI1122";"LD02  ";"2013JJ00";"   23250";"      20";"     6.5";"     915";"     3.9";"    1245"
"5908";"T001540";"CRI1122";"LD02  ";"2014JJ00";"   21695";"      21";"     6.1";"    1120";"     5.2";"    1500"
"5909";"T001540";"CRI1122";"LD02  ";"2015JJ00";"   19440";"      22";"     5.4";"     925";"     4.8";"    1235"
"5910";"T001540";"CRI1122";"LD02  ";"2016JJ00";"   17905";"      22";"     5.0";"     820";"     4.6";"    1085"
"5911";"T001540";"CRI1122";"LD02  ";"2017JJ00";"   13525";"      19";"     3.8";"     605";"     4.5";"     755"
"5912";"T001540";"CRI1122";"LD02  ";"2018JJ00";"   11695";"      19";"     3.2";"     600";"     5.1";"     715"
"5913";"T001540";"CRI1122";"LD02  ";"2019JJ00";"   11675";"      19";"     3.2";"     555";"     4.8";"     680"
"5914";"T001540";"CRI1122";"LD02  ";"2020JJ00";"   10510";"      19";"     2.9";"     550";"     5.2";"     675"
"5915";"T001540";"CRI1122";"LD02  ";"2021JJ00";"   10515";"      22";"     2.8";"     440";"     4.2";"     610"
"5916";"T001540";"CRI1122";"LD03  ";"2010JJ00";"   46105";"      13";"     5.9";"    1890";"     4.1";"    2555"
"5917";"T001540";"CRI1122";"LD03  ";"2011JJ00";"   47015";"      13";"     6.0";"    1900";"     4.0";"    2540"
"5918";"T001540";"CRI1122";"LD03  ";"2012JJ00";"   46140";"      13";"     5.9";"    1990";"     4.3";"    2635"
"5919";"T001540";"CRI1122";"LD03  ";"2013JJ00";"   47890";"      14";"     6.1";"    2195";"     4.6";"    2910"
"5920";"T001540";"CRI1122";"LD03  ";"2014JJ00";"   51635";"      17";"     6.5";"    2615";"     5.1";"    3355"
"5921";"T001540";"CRI1122";"LD03  ";"2015JJ00";"   52520";"      18";"     6.6";"    2355";"     4.5";"    2975"
"5922";"T001540";"CRI1122";"LD03  ";"2016JJ00";"   50970";"      19";"     6.3";"    2250";"     4.4";"    2835"
"5923";"T001540";"CRI1122";"LD03  ";"2017JJ00";"   43875";"      18";"     5.4";"    1685";"     3.8";"    2095"
"5924";"T001540";"CRI1122";"LD03  ";"2018JJ00";"   37890";"      18";"     4.6";"    1355";"     3.6";"    1815"
"5925";"T001540";"CRI1122";"LD03  ";"2019JJ00";"   36960";"      18";"     4.5";"    1225";"     3.3";"    1560"
"5926";"T001540";"CRI1122";"LD03  ";"2020JJ00";"   35385";"      19";"     4.2";"    1030";"     2.9";"    1260"
"5927";"T001540";"CRI1122";"LD03  ";"2021JJ00";"   32165";"      21";"     3.8";"     850";"     2.6";"    1130"
"5928";"T001540";"CRI1122";"LD04  ";"2010JJ00";"   26255";"      18";"     7.4";"    1030";"     3.9";"    1525"
